Component,Vis,SomMot,DorsAttn,SalVentAttn,Limbic,Cont,Default
ica_component_1.nii.gz,3.18,2.76,0.73,3.59,0.2,11.71,8.52
ica_component_10.nii.gz,0.14,7.57,8.92,6.42,0.96,14.25,13.16
ica_component_2.nii.gz,4.42,4.77,9.02,1.88,3.56,5.48,8.51
ica_component_3.nii.gz,15.05,1.47,4.22,2.9,0.0,2.12,6.43
ica_component_4.nii.gz,3.77,19.37,8.01,7.59,2.16,3.29,6.6
ica_component_5.nii.gz,0.0,18.85,8.9,8.95,0.0,4.67,4.15
ica_component_6.nii.gz,0.03,30.77,12.3,5.12,0.0,5.06,2.82
ica_component_7.nii.gz,0.0,6.85,3.82,13.95,0.0,21.28,9.47
ica_component_8.nii.gz,9.13,14.87,6.83,9.32,1.46,8.06,5.25
ica_component_9.nii.gz,1.8,2.5,0.14,1.41,11.23,13.27,21.28
