Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,17.89649590056922,18.50968419043984,20.76988992156087,11.4066089415091,15.349887133182843,34.684801158400994,12.705086604816964
ICA_10,19.933155778369628,25.837229272016028,19.557049634170458,10.717441244036047,16.558654336270298,30.573511920153074,8.011516841095014
ICA_2,35.3386599822445,21.012626021690043,12.510711225364183,0.0,17.425180222820945,1.6962300253400218,32.66304099447009
ICA_3,22.690479920622487,27.052126069395417,18.456265242897636,9.621841314719916,20.527197262069468,29.906397062626056,6.220008226315068
ICA_4,15.697947673507755,13.417930859014726,35.38988860325622,2.7036578900865877,16.973712954197918,47.489269276516524,8.85242904803254
ICA_5,11.598516893832576,17.491969595776485,13.084173752554214,12.210637921894328,17.06837544600597,34.85028701453173,20.6251999451579
ICA_6,30.273121311817853,23.318385650224215,20.93467800408674,10.788125110443541,20.519915531930387,32.7299994828567,8.166902792376948
ICA_7,19.86004491096141,31.39649524536463,7.230901061235251,27.610885315426753,15.087744848175927,16.207271034803743,10.223481559343723
ICA_8,32.539558201472666,26.26975797474796,8.707402280667061,23.908817812334334,20.585451103182116,18.503387288617677,5.150587267492345
ICA_9,9.572301425661914,22.71093725153452,19.827302089512884,8.96801555045061,7.849705089929366,14.6610125665822,30.940085005255703
